Failure Cause,Count
"kubectl dry-run failed: The Job ""ca-certificates-(( random.String 5 \""[a-z]\"" ))"" is invalid:  * metadata.name: Invalid value: ""ca-certificates-(( random.String 5 \""[a-z]\"" ))"": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*') * spec.template.labels: Invalid value: ""ca-certificates-(( random.String 5 \""[a-z]\"" ))"": a valid label must be an empty string or consist of alphanumeric characters, '-', '\_' or '.', and must start and end with an alphanumeric character (e.g. 'MyValue',  or 'my\_value',  or '12345', regex used for validation is '(([A-Za-z0-9][-A-Za-z0-9\_.]*)?[A-Za-z0-9])?')",4
"kubectl dry-run failed: The Deployment ""web-app"" is invalid: spec.template.metadata.labels: Invalid value: \{""app"":""myapp""\}: `selector` does not match template `labels`",4
"kubectl dry-run failed: The DaemonSet ""nvidiaheartbeat"" is invalid: spec.template.metadata.labels: Invalid value: \{""nvidiaheartbeat-node"":""pod""\}: `selector` does not match template `labels`",4
"kubectl dry-run failed: The Deployment ""nginx"" is invalid: spec.template.metadata.labels: Invalid value: null: `selector` does not match template `labels`",4
"kubectl dry-run failed: The StatefulSet ""release-name-harbor-redis"" is invalid: spec.template.spec.containers[0].volumeMounts[0].name: Not found: ""data""",3
"kubectl dry-run failed: The StatefulSet ""release-name-vault"" is invalid: spec.template.spec.containers[0].volumeMounts[0].name: Not found: ""data""",3
"kubectl dry-run failed: The Deployment ""release-name-nfs-subdir-external-provisioner"" is invalid:  * spec.template.spec.volumes[0].nfs.server: Required value * spec.template.spec.containers[0].volumeMounts[0].name: Not found: ""nfs-subdir-external-provisioner-root""",3
"kubectl dry-run failed: Error from server (BadRequest): error when creating ""STDIN"": Deployment in version ""v1"" cannot be handled as a Deployment: strict decoding error: unknown field ""spec.template.spec.securityContext.privileged""",3
"kubectl dry-run failed: The StatefulSet ""mongo"" is invalid: spec.template.spec.containers[0].volumeMounts[0].name: Not found: ""mongo-volume""",3
"kubectl dry-run failed: The CronJob ""my-cron-job"" is invalid:  * spec.jobTemplate.spec.template.spec.containers[0].resources.requests: Invalid value: ""100m"": must be less than or equal to cpu limit of 10m * spec.jobTemplate.spec.template.spec.containers[0].resources.requests: Invalid value: ""128Mi"": must be less than or equal to memory limit of 16Mi",3
"kubectl dry-run failed: The Deployment ""fb-user-datastore-api-\{\{ .Values.environmentName \}\}"" is invalid:  * metadata.name: Invalid value: ""fb-user-datastore-api-\{\{ .Values.environmentName \}\}"": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*') * spec.selector.matchLabels: Invalid value: ""fb-user-datastore-api-\{\{ .Values.environmentName \}\}"": a valid label must be an empty string or consist of alphanumeric characters, '-', '\_' or '.', and must start and end with an alphanumeric character (e.g. 'MyValue',  or 'my\_value',  or '12345', regex used for validation is '(([A-Za-z0-9][-A-Za-z0-9\_.]*)?[A-Za-z0-9])?') * spec.selector: Invalid value: \{""matchLabels"":\{""app"":""fb-user-datastore-api-\{\{ .Values.environmentName \}\}""\}\}: invalid label selector",3
"kubectl dry-run failed: The Deployment ""canary-demo"" is invalid: spec.template.spec.containers[0].resources.requests: Invalid value: ""128Mi"": must be less than or equal to memory limit of 128M",3
"kubectl dry-run failed: The CronJob ""pt-1.5-mnist-convergence-v3-8"" is invalid:  * spec.jobTemplate.spec.template.spec.containers[0].resources.requests: Invalid value: ""4500m"": must be less than or equal to cpu limit of 500m * spec.jobTemplate.spec.template.spec.containers[0].resources.requests: Invalid value: ""8Gi"": must be less than or equal to memory limit of 256Mi",3
"kubectl dry-run failed: The Deployment ""notion-gtdls"" is invalid: spec.template.spec.containers[0].resources.requests: Invalid value: ""128Mi"": must be less than or equal to memory limit of 64Mi",3
"kubectl dry-run failed: The StatefulSet ""github-actions-runner-controller-registry"" is invalid: spec.template.spec.containers[0].volumeMounts[0].name: Not found: ""data""",3
"kubectl dry-run failed: The StatefulSet ""release-name-postgresql"" is invalid: spec.template.spec.containers[0].volumeMounts[1].name: Not found: ""data""",2
"kubectl dry-run failed: The StatefulSet ""release-name-alertmanager"" is invalid: spec.template.spec.containers[0].volumeMounts[1].name: Not found: ""storage""",2
"kubectl dry-run failed: The Deployment ""hive-controllers"" is invalid: spec.template.spec.containers[0].resources.requests: Invalid value: ""512Mi"": must be less than or equal to memory limit of 256Mi",2
"kubectl dry-run failed: The Deployment ""flog"" is invalid: spec.template.spec.containers[0].resources.requests: Invalid value: ""128Mi"": must be less than or equal to memory limit of 100Mi",2
"kubectl dry-run failed: Error from server (BadRequest): error when creating ""STDIN"": Job in version ""v1"" cannot be handled as a Job: strict decoding error: unknown field ""spec.template.spec.securityContext.allowPrivilegeEscalation""",2
"kubectl dry-run failed: The Deployment ""sample-app"" is invalid: spec.template.spec.containers[0].resources.requests: Invalid value: ""128Mi"": must be less than or equal to memory limit of 50Mi",2
"kubectl dry-run failed: The StatefulSet ""oxshibboleth"" is invalid: spec.template.metadata.labels: Invalid value: null: `selector` does not match template `labels`",2
"kubectl dry-run failed: The Deployment ""pgbench"" is invalid:  * spec.template.spec.containers[0].resources.requests: Invalid value: ""512m"": must be less than or equal to cpu limit of 500m * spec.template.spec.containers[0].resources.requests: Invalid value: ""512Mi"": must be less than or equal to memory limit of 256Mi",2
"kubectl dry-run failed: The Deployment ""web"" is invalid: spec.template.spec.containers[0].resources.requests: Invalid value: ""128Mi"": must be less than or equal to memory limit of 64Mi",2
"kubectl dry-run failed: error: error when retrieving current configuration of: Resource: ""batch/v1, Resource=jobs"", GroupVersionKind: ""batch/v1, Kind=Job"" Name: """", Namespace: ""jobs"" from server for: ""STDIN"": resource name may not be empty",2
"kubectl dry-run failed: The Deployment ""registry"" is invalid: spec.template.spec.containers[0].resources.requests: Invalid value: ""128Mi"": must be less than or equal to memory limit of 40Mi",2
"kubectl dry-run failed: Error from server (Forbidden): error when creating ""STDIN"": pods ""aws-cli"" is forbidden: error looking up service account default/pod-iam-identity: serviceaccount ""pod-iam-identity"" not found",2
"kubectl dry-run failed: The ReplicationController ""zulip-1"" is invalid: spec.template.spec.containers[0].resources.requests: Invalid value: ""100m"": must be less than or equal to cpu limit of 50m",2
"kubectl dry-run failed: The StatefulSet ""observatorium-xyz-loki-querier"" is invalid: spec.template.spec.containers[0].volumeMounts[1].name: Not found: ""storage""",2
"kubectl dry-run failed: The StatefulSet ""web"" is invalid: spec.template.spec.containers[0].volumeMounts[0].name: Not found: ""www""",2
environment variable STANDARD\_AUTHSERVICE\_CERT\_SECRET\_NAME must use secretKeyRef,2
environment variable WILDCARD\_ENDPOINT\_CERT\_SECRET must use secretKeyRef,2
"kubectl dry-run failed: The StatefulSet ""release-name-postgresql"" is invalid: spec.template.spec.containers[0].volumeMounts[5].name: Not found: ""data""",1
"kubectl dry-run failed: The StatefulSet ""release-name-redis-master"" is invalid: spec.template.spec.containers[0].volumeMounts[3].name: Not found: ""redis-data""",1
"kubectl dry-run failed: The StatefulSet ""release-name-redis-replicas"" is invalid: spec.template.spec.containers[0].volumeMounts[3].name: Not found: ""redis-data""",1
"kubectl dry-run failed: The StatefulSet ""release-name-harbor-trivy"" is invalid: spec.template.spec.containers[0].volumeMounts[0].name: Not found: ""data""",1
"kubectl dry-run failed: The Deployment ""istiod"" is invalid: spec.template.spec.containers[0].resources.requests: Invalid value: ""2Gi"": must be less than or equal to memory limit of 256Mi",1
"kubectl dry-run failed: Error from server (BadRequest): error when creating ""STDIN"": StatefulSet in version ""v1"" cannot be handled as a StatefulSet: strict decoding error: unknown field ""spec.template.spec.securityContext.allowPrivilegeEscalation""",1
"kubectl dry-run failed: Error from server (BadRequest): error when creating ""STDIN"": Pod in version ""v1"" cannot be handled as a Pod: strict decoding error: unknown field ""spec.securityContext.privileged""",1
"kubectl dry-run failed: Error from server (BadRequest): error when creating ""STDIN"": Pod in version ""v1"" cannot be handled as a Pod: strict decoding error: unknown field ""spec.securityContext.capabilities"", unknown field ""spec.securityContext.noAllowPrivilegeEscalation"", unknown field ""spec.securityContext.readOnlyRootFilesystem""",1
environment variable PL\_VIZIER\_IMAGE\_SECRET\_FILE must use secretKeyRef,1
"kubectl dry-run failed: Error from server (BadRequest): error when creating ""STDIN"": Deployment in version ""v1"" cannot be handled as a Deployment: strict decoding error: unknown field ""spec.template.spec.volumes[1].hostPath.emptyDir"", unknown field ""spec.template.spec.volumes[3].hostPath.emptyDir"", unknown field ""spec.template.spec.volumes[4].hostPath.emptyDir"", unknown field ""spec.template.spec.volumes[5].hostPath.emptyDir""",1
environment variable JX\_SECRET\_TMP\_DIR must use secretKeyRef,1
"kubectl dry-run failed: The Deployment ""pgbench"" is invalid:  * spec.template.spec.containers[0].resources.requests: Invalid value: ""512Mi"": must be less than or equal to memory limit of 256Mi * spec.template.spec.containers[0].resources.requests: Invalid value: ""512m"": must be less than or equal to cpu limit of 500m",1
"kubectl dry-run failed: The Deployment ""ueransim-gnb-deployment"" is invalid: spec.template.spec.initContainers[0].volumeMounts[0].name: Not found: ""grpc-sock""",1
"kubectl dry-run failed: Error from server (BadRequest): error when creating ""STDIN"": Pod in version ""v1"" cannot be handled as a Pod: strict decoding error: unknown field ""spec.securityContext.allowPrivilegeEscalation""",1
"kubectl dry-run failed: Error from server (BadRequest): error when creating ""STDIN"": Pod in version ""v1"" cannot be handled as a Pod: strict decoding error: unknown field ""spec.securityContext.allowPrivilegeEscalation"", unknown field ""spec.securityContext.capabilities""",1
environment variable AAA\_SECRET\_DATA\_WITH\_CM\_ENV must use secretKeyRef,1
environment variable AWS\_SECRET\_ACCESS\_KEY must use secretKeyRef,1
"kubectl dry-run failed: Error from server (BadRequest): error when creating ""STDIN"": ReplicationController in version ""v1"" cannot be handled as a ReplicationController: strict decoding error: unknown field ""spec.template.spec.volumes[0].hostPath.emptyDir"", unknown field ""spec.template.spec.volumes[1].hostPath.emptyDir"", unknown field ""spec.template.spec.volumes[2].hostPath.emptyDir""",1
"kubectl dry-run failed: The Pod ""buildkitd"" is invalid: spec.containers[0].securityContext.procMount: Unsupported value: ""ReadOnly"": supported values: ""Default"", ""Unmasked""",1
environment variable NEO4J\_PASSWORD must use secretKeyRef,1
environment variable JWT\_SECRET must use secretKeyRef,1
"kubectl dry-run failed: The Deployment ""dss"" is invalid:  * spec.template.spec.volumes[1].name: Required value * spec.template.spec.containers[2].volumeMounts[0].name: Not found: ""docker-sock""",1
